
                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 1 of 5

Project: Unnamed Project                                             Run execution date :12/ 1/2025
Analyst: Eunseo                                                      Model revision date:12/ 1/2025

Replication ended at time      : 10080.0 Minutes (Monday, August 11, 2025, 17:40:02)
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Grinding_Machine3.NumberSeized              25.000    
Grinding_Machine3.ScheduledUtilization      .12244    
Grinding_Machine2.NumberSeized              49.000    
Grinding_Machine2.ScheduledUtilization      .24444    
Grinding_Machine1.NumberSeized              69.000    
Grinding_Machine1.ScheduledUtilization      .32542    
Process_Inspector3.NumberSeized             37.000    
Process_Inspector3.ScheduledUtilization     .30531    
Process_Inspector2.NumberSeized             55.000    
Process_Inspector2.ScheduledUtilization     .41370    
Process_Inspector1.NumberSeized             52.000    
Process_Inspector1.ScheduledUtilization     .45477    
Controller_Assembler3.NumberSeized          44.000    
Controller_Assembler3.ScheduledUtilization  .65476    
Controller_Assembler2.NumberSeized          39.000    
Controller_Assembler2.ScheduledUtilization  .58036    
Controller_Assembler1.NumberSeized          48.000    
Controller_Assembler1.ScheduledUtilization  .71429    
Worker_Assemble.NumberSeized                752.00    
Worker_Assemble.ScheduledUtilization        .29725    
Worker_Process.NumberSeized                 846.00    
Worker_Process.ScheduledUtilization         .27591    
System.NumberOut                            130.00    

Beginning replication 2 of 5

                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 2 of 5

Project: Unnamed Project                                             Run execution date :12/ 1/2025
Analyst: Eunseo                                                      Model revision date:12/ 1/2025

Replication ended at time      : 10080.0 Minutes (Monday, August 11, 2025, 17:40:02)
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Material.VATime                             208.63     (Insuf)    39.855     368.57        128    
Material.NVATime                            77.609     (Insuf)    29.010     138.36        128    
Material.WaitTime                           763.41     (Insuf)    42.269     1466.4        128    
Material.TranTime                           .00000     (Insuf)    .00000     .00000        128    
Material.OtherTime                          .44141     (Insuf)    .00000     .50000        128    
Material.TotalTime                          1050.0     (Insuf)    171.46     1942.7        128    
Process_Inspection.Queue.WaitingTime        31.066     (Insuf)    .00000     99.863        143    
InnerHole_Drilling.Queue.WaitingTime        18.196     (Insuf)    .00000     845.10        127    
Finishing2.Queue.WaitingTime                41.419     (Insuf)    .00000     108.97        143    
Finishing1.Queue.WaitingTime                46.511     (Insuf)    .00000     131.54        143    
Load.Queue.WaitingTime                      30.176     (Insuf)    .00000     100.92        125    
Packaging.Queue.WaitingTime                 30.821     (Insuf)    .00000     916.37        107    
Machining_Input.Queue.WaitingTime           67.500     (Insuf)    .00000     135.00        140    
HousingCover_Assemble.Queue.WaitingTime     110.06     (Insuf)    .00000     948.22        127    
Grinding.Queue.WaitingTime                  26.303     (Insuf)    .00000     114.22        141    
Tapping.Queue.WaitingTime                   66.847     (Insuf)    .00000     940.00        127    
Final_Inspection.Queue.WaitingTime          289.45     (Insuf)    .00000     935.60        117    
Controller_Assemble.Queue.WaitingTime       53.998     (Insuf)    .00000     939.46        127    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

Material.WIP                                14.406     (Insuf)    .00000     33.000     12.000    
Input_Machine2.NumberBusy                   .10417     (Insuf)    .00000     1.0000     .00000    
Input_Machine2.NumberScheduled              .33333     (Insuf)    .00000     1.0000     .00000    
Input_Machine2.Utilization                  .10417     (Insuf)    .00000     1.0000     .00000    
Input_Machine1.NumberBusy                   .10417     (Insuf)    .00000     1.0000     .00000    
Input_Machine1.NumberScheduled              .33333     (Insuf)    .00000     1.0000     .00000    
Input_Machine1.Utilization                  .10417     (Insuf)    .00000     1.0000     .00000    
Loader1.NumberBusy                          .15611     (Insuf)    .00000     1.0000     .00000    
Loader1.NumberScheduled                     .33333     (Insuf)    .00000     1.0000     .00000    
Loader1.Utilization                         .15611     (Insuf)    .00000     1.0000     .00000    
Loader2.NumberBusy                          .14639     (Insuf)    .00000     1.0000     .00000    
Loader2.NumberScheduled                     .33333     (Insuf)    .00000     1.0000     .00000    
Loader2.Utilization                         .14639     (Insuf)    .00000     1.0000     .00000    
Hole_Driller1.NumberBusy                    .15278     (Insuf)    .00000     1.0000     .00000    
Hole_Driller1.NumberScheduled               .33333     (Insuf)    .00000     1.0000     .00000    
Hole_Driller1.Utilization                   .15278     (Insuf)    .00000     1.0000     .00000    
